BIOL 1010,fall,2017
BIOL 1015,fall,2017
CSCI 1200,fall,2017
MATH 2010,fall,2017
PSYC 1200,fall,2017
CSCI 2200,spring,2018
CSCI 2500,spring,2018
ECON 4130,spring,2018
LANG 1410,spring,2018
MATH 2400,spring,2018
ADMN 1030,fall,2018
CSCI 2300,fall,2018
CSCI 2600,fall,2018
ECON 2010,fall,2018
MATH 4100,fall,2018
MATP 4700,fall,2018
ADMN 1030,spring,2019
CSCI 4210,spring,2019
CSCI 4380,spring,2019
MATP 4400,spring,2019
MATP 4820,spring,2019
CSCI 4100,fall,2019
CSCI 4430,fall,2019
MATH 4090,fall,2019
MATH 4800,fall,2019
MATP 4600,fall,2019
CSCI 4150,spring,2020
CSCI 4550,spring,2020
CSCI 4964,spring,2020
MATH 4010,spring,2020
WRIT 4410,spring,2020
