MATH 1010,fall,2017
CHEM 1100,fall,2017
ENGR 1100,fall,2017
STSH 1100,fall,2017
BIOL 2120,spring,2018
PHYS 1100,spring,2018
MATH 1020,fall,2018
CSCI 1100,fall,2018
PHIL 2140,fall,2018
IHSS 1140,fall,2018
PSYC 1200,fall,2018
PYSC 2730,spring,2019
COGS 2120,spring,2019
CSCI 1200,spring,2019
PSYC 2310,spring,2019
COGS 4600,summer,2019
COGS 4360,summer,2019
PSYC 4720,summer,2019
CSCI 2200,spring,2020
COGS 4330,spring,2020
PSYC 4370,spring,2020
COGS 2340,spring,2020
CSCI 2300,spring,2020
PHIL 4480,fall,2020
COGS 4410,fall,2020
COGS 4961,fall,2020
CSCI 4340,fall,2020
CSCI 4440,fall,2020
